[0,4,365,96,472,245,348,36,85,196,323,152,394,489,127,194,216,300
,102,32,111,330,396,329,142,214,339,436,480,374,130,156,333,228,304,361
,2,50,57,120,294,276,90,101,154,308,492,279,312,123,482,407,68,255
,173,467,171,40,197,285,191,408,465,306,53,47,144,141,495,151,217,206
,405,305,286,397,475,449,468,254,222,487,23,450,174,241,257,456,390,76
,94,474,332,426,320,186,368,383,360,455,248,148,377,108,290,124,74,135
,72,116,264,419,238,3,231,166,359,250,48,321,38,233,485,356,181,18
,319,395,221,269,291,246,19,317,43,282,350,479,247,448,140,481,273,281
,45,499,52,458,464,420,95,459,204,145,134,20,430,136,21,362,75,114
,117,98,336,373,65,340,133,442,342,288,309,314,160,61,428,325,244,69
,239,263,49,376,335,446,324,460,328,232,183,132,483,106,172,178,70,137
,203,161,379,315,357,30,89,198,83,190,497,307,176,67,42,84,55,384
,91,425,409,125,201,147,113,46,13,444,34,86,16,242,266,1,205,391
,195,240,268,327,153,31,103,168,10,265,274,347,27,440,343,14,387,400
,54,64,295,490,478,122,79,385,367,24,496,302,275,453,424,163,182,100
,477,62,301,293,358,471,370,92,66,17,371,259,218,435,382,452,427,121
,469,143,56,128,80,220,260,292,126,451,412,498,175,115,334,237,110,253
,71,256,262,283,41,105,341,299,199,229,73,78,457,271,434,234,473,349
,393,8,12,35,267,351,272,165,131,167,311,44,414,219,60,488,215,22
,401,184,461,298,63,326,107,99,417,406,213,261,212,296,338,352,443,211
,463,185,15,249,423,280,189,209,447,104,466,82,109,470,415,441,429,389
,188,433,224,454,289,7,192,208,6,210,438,164,418,11,392,270,381,493
,303,39,422,158,28,187,170,318,26,223,93,112,169,258,366,81,388,177
,398,345,225,284,399,252,149,118,277,445,33,236,235,322,431,179,25,58
,310,491,484,369,313,344,378,439,51,227,5,297,402,375,355,287,476,386
,337,380,354,87,364,226,316,372,278,180,162,138,331,494,9,413,146,202
,157,411,363,346,230,421,416,159,410,88,462,200,207,243,29,432,437,150
,139,59,97,486,251,77,37,404,155,193,119,353,129,403]
